"APPLICATION_NUMBER","PRIMARY_OWNER_NAME","WATER_RIGHT_TYPE","WATER_RIGHT_STATUS","CALENDAR YEAR","DATE_REPORT_FILED","REVISION","FACE_VALUE_OR_REPORTED_VALUE","COUNTY","SOURCE","HUC8_NAME","HUC12_NAME","WATERSHED","POD_COUNT","TOTAL_DIRECT_DIVERSION","TOTAL_DIVERTED_STORAGE","TOTAL_DIVERTED","TOTAL_AMOUNT_USED","JAN_DIRECT_DIVERSION","FEB_DIRECT_DIVERSION","MAR_DIRECT_DIVERSION","APR_DIRECT_DIVERSION","MAY_DIRECT_DIVERSION","JUN_DIRECT_DIVERSION","JUL_DIRECT_DIVERSION","AUG_DIRECT_DIVERSION","SEP_DIRECT_DIVERSION","OCT_DIRECT_DIVERSION","NOV_DIRECT_DIVERSION","DEC_DIRECT_DIVERSION","JAN_DIVERTED_STORAGE","FEB_DIVERTED_STORAGE","MAR_DIVERTED_STORAGE","APR_DIVERTED_STORAGE","MAY_DIVERTED_STORAGE","JUN_DIVERTED_STORAGE","JUL_DIVERTED_STORAGE","AUG_DIVERTED_STORAGE","SEP_DIVERTED_STORAGE","OCT_DIVERTED_STORAGE","NOV_DIVERTED_STORAGE","DEC_DIVERTED_STORAGE","JAN_DIVERTED_TOTAL","FEB_DIVERTED_TOTAL","MAR_DIVERTED_TOTAL","APR_DIVERTED_TOTAL","MAY_DIVERTED_TOTAL","JUN_DIVERTED_TOTAL","JUL_DIVERTED_TOTAL","AUG_DIVERTED_TOTAL","SEP_DIVERTED_TOTAL","OCT_DIVERTED_TOTAL","NOV_DIVERTED_TOTAL","DEC_DIVERTED_TOTAL","JAN_AMOUNT_USED","FEB_AMOUNT_USED","MAR_AMOUNT_USED","APR_AMOUNT_USED","MAY_AMOUNT_USED","JUN_AMOUNT_USED","JUL_AMOUNT_USED","AUG_AMOUNT_USED","SEP_AMOUNT_USED","OCT_AMOUNT_USED","NOV_AMOUNT_USED","DEC_AMOUNT_USED"
"A011762","US BUREAU OF RECLAMATION","Appropriative","Permitted","Jan 2000 - Dec 2000","2012-06-18","1","11359.7","Santa Barbara","LAURO CREEK","Santa Barbara Coastal","Mission Creek-Frontal Santa Barbara Channel","SOUTH COAST","1","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A013811","AMNOS LLC","Appropriative","Licensed","Jan 2000 - Dec 2000","2011-09-05","1","118.6","Sonoma","RUSSIAN RIVER UNDERFLOW","Russian","Gill Creek-Russian River","RUSSIAN RIVER","2","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A015231","KINGS RIVER WATER ASSOCIATION","Appropriative","Licensed","Jan 2000 - Dec 2000","2021-05-03","1","960700.0","Kings","TULARE LAKE","Tulare Lake Bed","Homeland Canal-Frontal Tulare Lake Bed","SOUTH VALLEY FLOOR","11","32536.0","12534.0","45070.0","45293.0","0.0","631.0","4339.0","1598.0","6994.0","9464.0","3160.0","3535.0","429.0","61.0","0.0","2325.0","1242.0","1351.0","6978.0","970.0","1993.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1242.0","1982.0","11317.0","2568.0","8987.0","9464.0","3160.0","3535.0","429.0","61.0","0.0","2325.0","0.0","631.0","4339.0","1598.0","6994.0","13568.0","10125.0","5223.0","429.0","61.0","0.0","2325.0"
"A016687","JUNE LAKE PUBLIC UTILITY DISTRICT","Appropriative","Licensed","Jan 2000 - Dec 2000","2021-06-22","1","246.2","Mono","JUNE LAKE","Mono Lake","Grant Lake-Rush Creek","MONO","2","8.68","0.0","8.68","8.68","0.45","0.38","0.32","0.27","0.74","1.03","1.86","1.22","0.9","0.7","0.43","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.45","0.38","0.32","0.27","0.74","1.03","1.86","1.22","0.9","0.7","0.43","0.38","0.45","0.38","0.32","0.27","0.74","1.03","1.86","1.22","0.9","0.7","0.43","0.38"
"A018714","US BUREAU OF RECLAMATION","Appropriative","Permitted","Jan 2000 - Dec 2000","2012-06-01","2","143000.0","Madera","CHOWCHILLA RIVER","Middle San Joaquin-Lower Chowchilla","Split Rock Creek-Chowchilla River","AHWAHNEE","1","","","65528.0","58832.0","","","","","","","","","","","","","","","","","","","","","","","","","6041.0","41208.0","11445.0","6058.0","476.0","0.0","0.0","0.0","0.0","0.0","25.0","275.0","0.0","0.0","0.0","0.0","1181.0","10013.0","16505.0","16729.0","5409.0","8995.0","0.0","0.0"
"A019755","SAN FRANCISCO BAY AREA COUNCIL B S A","Appropriative","Licensed","Jan 2000 - Dec 2000","2014-11-03","1","300.0","Mendocino","FINNEY VALLEY","Upper Eel","Mill Creek-Outlet Creek","EEL RIVER","1","","","300.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","","42.86","42.86","42.86","42.86","0.0","0.0","0.0","0.0","0.0","42.86","42.86","42.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A020070","U S NATIONAL PARK SERVICE","Appropriative","Licensed","Jan 2000 - Dec 2000","2012-07-19","1","7.7","Marin","UNST","Tomales-Drake Bays","Nicasio Creek","MARIN COASTAL","1","","","6.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25"
"A024693B","TREFETHEN FAMILY VINEYARDS, LTD","Appropriative","Permitted","Jan 2000 - Dec 2000","2013-02-26","1","550.0","Napa","DRY CREEK","San Pablo Bay","Dry Creek","SAN PABLO","1","","","5.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A026712","Olcese Water District","Appropriative","Permitted","Jan 2000 - Dec 2000","2010-06-07","1","723977.5","Kern","KERN RIVER","Middle Kern-Upper Tehachapi-Grapevine","Stark Creek-Kern River","SOUTH VALLEY FLOOR","1","","","360609.0","360609.0","","","","","","","","","","","","","","","","","","","","","","","","","10288.0","12619.0","27140.0","42401.0","44204.0","68250.0","74336.0","54096.0","21007.0","2916.0","0.0","3352.0","10288.0","12619.0","27140.0","42401.0","44204.0","68250.0","74336.0","54096.0","21007.0","2916.0","0.0","3352.0"
"A026798","STAN  HEYMANN","Appropriative","Permitted","Jan 2000 - Dec 2000","2014-01-20","2","2.2","Humboldt","UNSP","Lower Eel","Chamise Creek","EEL RIVER","1","","","1.1017351","1.1017351","","","","","","","","","","","","","","","","","","","","","","","","","0.0951359","0.0889981","0.0951359","0.092067","0.0951359","0.092067","0.0951359","0.0951359","0.092067","0.0828603","0.0828603","0.0951359","0.0552402","0.0552402","0.0552402","0.061378","0.0767225","0.1104804","0.1381005","0.1381005","0.1381005","0.1104804","0.1074115","0.0552402"
"C000176","DANNY R. AND DEBORAH L. CLINE, TRUSTEES OF THE CLINE 2011 REVOCABLE TRUST DATED 06/30/2011","Stockpond","Certified","Jan 2000 - Dec 2000","2020-09-16","1","0.0","Calaveras","UNST","Upper Calaveras California","Esperanza Creek","UPPER CALAVERAS","1","","0.0","0.0","0.0","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"G192638","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-01-09","1","0.0","Los Angeles","UNKNOWN","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G192886","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-05-24","2","0.0","Los Angeles","UNKNOWN","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G192887","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-05-23","2","0.0","Los Angeles","UNKNOWN","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G192976","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-01-09","1","0.0","Los Angeles","UNKNOWN","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G192994","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-05-23","2","0.0","Los Angeles","UNKNOWN","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G193034","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-01-09","3","0.0","Los Angeles","UNKNOWN","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G193044","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-01-09","1","0.0","Los Angeles","UNKNOWN","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G193124","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-01-09","1","0.0","Los Angeles","UNKNOWN","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G193541","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Groundwater Recordation","Claimed","Jan 2000 - Dec 2000","2013-01-09","1","1120.0","Los Angeles","","Antelope-Fremont Valleys","Kings Canyon","ANTELOPE","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S000354","MONTECITO WATER DISTRICT","Statement of Div and Use","Claimed","Jan 2000 - Dec 2000","2022-12-12","1","","Santa Barbara","ALDER CREEK","Santa Ynez","Juncal Canyon-Santa Ynez River","SANTA YNEZ","1","196.3","0.0","196.3","0.0","19.4","99.4","45.5","31.8","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.4","99.4","45.5","31.8","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"S000355","MONTECITO WATER DISTRICT","Statement of Div and Use","Claimed","Jan 2000 - Dec 2000","2022-12-12","1","","Santa Barbara","FOX CREEK","Santa Ynez","Juncal Canyon-Santa Ynez River","SANTA YNEZ","1","20.0","0.0","20.0","0.0","2.7","9.0","5.2","2.9","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.7","9.0","5.2","2.9","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"S004518","US BUREAU OF RECLAMATION","Statement of Div and Use","Claimed","Jan 2000 - Dec 2000","2013-07-01","1","10017.0","Shasta","SPRING CREEK","Clear Creek-Sacramento River","Spring Creek","SHASTA BALLY","1","","","2351.0","2246.0","","","","","","","","","","","","","","","","","","","","","","","","","528.0","1093.0","76.0","180.0","0.0","0.0","0.0","0.0","150.0","218.0","79.0","27.0","463.0","1092.0","74.0","0.0","35.0","18.0","196.0","263.0","4.0","12.0","43.0","46.0"
"S013183","DAN  GHIRINGHELLI","Statement of Div and Use","Claimed","Jan 2000 - Dec 2000","2012-03-29","1","2.4195","Napa","THE CABIN SPRING","San Pablo Bay","Dry Creek","SAN PABLO","1","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"S013831","WHITECLIFF WATER ASSOCIATION","Statement of Div and Use","Claimed","Jan 2000 - Dec 2000","2024-01-31","1","4.0325","Los Angeles","UNST","Antelope-Fremont Valleys","Pallett Creek","ANTELOPE","1","0.036888","0.0","0.036888","0.036888","0.0","0.0","0.013258","0.011048","0.008286","0.004296","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.013258","0.011048","0.008286","0.004296","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.013258","0.011048","0.008286","0.004296","0.0","0.0","0.0","0.0","0.0","0.0"
"S028780","KIM  EMIG","Statement of Div and Use","Claimed","Jan 2000 - Dec 2000","2023-01-27","1","0.8507","","","","","","1","0.71904","0.0","0.71904","0.71904","0.0","0.0","0.0","0.0","0.111401","0.111401","0.131655","0.131655","0.131655","0.101273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.111401","0.111401","0.131655","0.131655","0.131655","0.101273","0.0","0.0","0.0","0.0","0.0","0.0","0.111401","0.111401","0.131655","0.131655","0.131655","0.101273","0.0","0.0"
